Model,Games,Wins,Draws,Losses,Score,WinRate,Elo,AvgMoves,AvgEval,MaxEval,MinEval,AvgCaptures,AvgPromotions,AvgChecks,AvgCheckmates,AvgPositionsEval,AvgGameTime,WinsAsWhite,WinsAsBlack,WinRateWhite,WinRateBlack
nnue_weights_wasm.bin,28,0,27,1,13.5,48.214285714285715,992.3652298586959,59.035714285714285,-60.34687301835844,7.0627827644348145,-208.81953239440918,5.571428571428571,0.017857142857142856,2.5892857142857144,0.0,59.035714285714285,1.0812947154045105,0,0,0.0,0.0
nnue2_weights_wasm.bin,28,1,27,0,14.5,51.78571428571429,1012.3628408564766,57.75,-62.97054519238217,98.36809039115906,-288.9415502548218,5.571428571428571,0.07142857142857142,1.375,0.0,57.75,0.7948936734880719,0,1,0.0,7.142857142857142
nnue3_weights_wasm.bin,28,0,28,0,14.0,50.0,999.469464698144,59.25,-10.925926732165474,194.7361707687378,-182.9245090484619,7.607142857142857,0.14285714285714285,1.7678571428571428,0.0,59.25,0.9970324890954154,0,0,0.0,0.0
nnue4_weights_wasm.bin,28,0,28,0,14.0,50.0,999.518077014131,59.285714285714285,-21.511857334524393,43.58320236206055,-70.7698404788971,6.839285714285714,0.08928571428571429,1.1607142857142858,0.0,59.285714285714285,0.8060218862124852,0,0,0.0,0.0
nnue5_weights_wasm.bin,28,0,28,0,14.0,50.0,999.5628277426202,59.32142857142857,34.517498552799225,191.71926975250244,-106.58440589904785,6.0,0.0,1.25,0.0,59.32142857142857,1.0951267395700728,0,0,0.0,0.0
nnue6_weights_wasm.bin,28,0,28,0,14.0,50.0,999.6039765973438,60.0,-28.476202355963842,210.60104370117188,-151.37085914611816,7.107142857142857,0.23214285714285715,1.3035714285714286,0.0,60.0,0.9427793622016907,0,0,0.0,0.0
nnue7_weights_wasm.bin,28,0,28,0,14.0,50.0,999.6417712280363,58.75,-11.466752280082021,15.408219397068024,-22.239023447036743,6.892857142857143,0.10714285714285714,1.4107142857142858,0.0,58.75,1.1459733162607466,0,0,0.0,0.0
nnue8_weights_wasm.bin,28,1,27,0,14.5,51.78571428571429,1003.68792774496,58.92857142857143,-13.123708091144051,58.22506546974182,-127.97541618347168,7.035714285714286,0.10714285714285714,1.3571428571428572,0.0,58.92857142857143,1.0302403143474035,0,1,0.0,7.142857142857142
nnue9_weights_wasm.bin,28,1,27,0,14.5,51.78571428571429,1014.3613608156749,56.357142857142854,37.0679535684841,8.456402778625488,-98.36809039115906,5.375,0.07142857142857142,1.1607142857142858,0.0,56.357142857142854,1.1872898169926234,1,0,7.142857142857142,0.0
nnue10_weights_wasm.bin,28,0,28,0,14.0,50.0,998.557690214958,59.82142857142857,67.14971786178648,288.9415502548218,-4.207108497619629,6.5,0.05357142857142857,1.3392857142857142,0.0,59.82142857142857,1.3590857556888036,0,0,0.0,0.0
nnue11_weights_wasm.bin,28,0,28,0,14.0,50.0,998.6721425979821,59.07142857142857,-25.499495889991522,7.132539749145508,-194.7361707687378,6.232142857142857,0.125,1.3392857142857142,0.0,59.07142857142857,1.289159791810172,0,0,0.0,0.0
nnue12_weights_wasm.bin,28,0,27,1,13.5,48.214285714285715,993.9334537488936,58.32142857142857,-4.424917750060558,198.53684902191162,-210.60104370117188,6.678571428571429,0.08928571428571429,1.3392857142857142,0.0,58.32142857142857,1.1028752837862288,0,0,0.0,0.0
nnue13_weights_wasm.bin,28,0,28,0,14.0,50.0,998.7645875230932,58.464285714285715,-21.774236863212927,182.9245090484619,-15.14144092798233,5.767857142857143,0.03571428571428571,1.2142857142857142,0.0,58.464285714285715,1.1455433709280831,0,0,0.0,0.0
nnue14_weights_wasm.bin,28,0,28,0,14.0,50.0,998.8810338021921,59.714285714285715,73.40551987849176,208.81953239440918,-3.972102642059326,6.607142857142857,0.08928571428571429,1.1785714285714286,0.0,59.714285714285715,1.0562658224787032,0,0,0.0,0.0
nnue15_weights_wasm.bin,28,0,27,1,13.5,48.214285714285715,990.6176155567987,59.142857142857146,48.379825646323816,53.32591533660889,-33.761066198349,7.339285714285714,0.10714285714285714,2.0714285714285716,0.0,59.142857142857146,1.390450724533626,0,0,0.0,0.0
